table,class,num
pro_bi , ./src/com/ecity/enn/project/quality/check/QualityCheck.java,4
pro_bi , ./src/com/ecity/enn/project/report/ProjectReportManager.java,9
pro_bi , ./src/com/ecity/enn/project/saleproject/GetExitProInfo.java,1
pro_bi , ./src/com/ecity/enn/project/saleproject/ProListAllManager.java,1
pro_bi , ./src/com/ecity/enn/project/saleproject/SaleProjectCreater.java,1
pro_bi , ./src/com/ecity/enn/project/schedule/stat/ScheduleStatic.java,3
pro_bi , ./src/com/ecity/enn/project/thread/JGYStoSAPtask.java,1
pro_bi , ./src/com/ecity/enn/project/thread/object/SaleUserQueue.java,1
pro_bi , ./src/com/ecity/enn/project/trance/position/TransferPosition.java,1
pro_bi , ./src/com/ecity/enn/project/util/CalcRatio.java,2
pro_bi , ./src/com/ecity/enn/project/util/EnnUtil.java,7
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectAutoFormManager.java,2
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectAutoFormManager2.java,2
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectDangerWorkManager.java,29
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectGdhjManager.java,7
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectHjAndSyInfoManager.java,12
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectInfoManager.java,16
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectInspectManager.java,13
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectQuantityManager.java,8
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectQuantityManager2.java,68
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectSafeManager.java,6
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectWorkControlManager.java,8
pro_bi , ./src/com/ecity/enn/projectex/db/ProjectWorkRemindManager.java,20
pro_bi , ./src/com/ecity/project/weld/WeldManager.java,2
pro_bi_bjhg , ./src/com/ecity/enn/project/baojianhegui/BJHGManager.java,11
pro_bi_bjhg_file , ./src/com/ecity/enn/project/baojianhegui/BJHGManager.java,16
pro_bi_cz , ./src/com/ecity/enn/project/db/ProjectBaseinfoManager.java,3
pro_bi_fn , ./src/com/ecity/enn/project/db/ProjectBaseinfoManager.java,3
pro_bi_fn , ./src/com/ecity/enn/project/fanneng/FanNengManager.java,1
pro_bi_fn , ./src/com/ecity/enn/projectex/db/ProjectQuantityManager2.java,1
pro_bi_fs_pipe , ./src/com/ecity/enn/project/db/ProjectBaseinfoManager.java,1
pro_bi_fs_pipe , ./src/com/ecity/enn/project/db/ProjectCostManager.java,3
