table,used
pro_order_wltmpl,2
pro_men_relation,2
pro_cost_budgetmoney,2
pro_chkorder_param,2
pro_bi_jgzl_state,2
pro_bi_ht_detail,2
mt_att_field_val,2
log_oper,2
enn_organisation,2
user_power,1
u_rolegroup,1
u_role_menu,1
u_role_authority,1
u_groups_log,1
sms_log,1
project_enum_dict,1
pro_wl_tmpl,1
pro_visitor_province,1
pro_visitor_coordinate,1
pro_site_log_check,1
pro_site_conf,1
pro_set_wl_meta_tmp,1
pro_set_trance_check,1
pro_set_qc_problem,1
pro_set_loc,1
pro_set_flow_fun,1
pro_set_doc_type,1
pro_set_chkorder_param,1
pro_set_chkorder_item,1
pro_set_chkorder,1
pro_near_oper,1
pro_men_history,1
pro_men_detail_history,1
pro_evaluation_template,1
pro_cost_budgetdetail3,1
pro_cost_audit_problem_check,1
pro_cost_audit_file,1
pro_cost_audit,1
pro_camera_set,1
pro_api_flow,1
pro_api,1
patrolhistorytoday,1
log_sync,1
log_sap,1
log_interface,1
u_users_del,0
u_subsys,0
u_groups_del,0
test_oper,0
table,used
proex_sy_record_log,0
proex_qmxjc,0
proex_qdjc_pipe,0
proex_qdjc,0
pro_wl_plan_nopro_detail,0
pro_ts_record,0
pro_ts_photo,0
pro_ts_buginfo,0
pro_set_gcl_wbs,0
pro_order_sm,0
pro_gx_video_state_copy,0
pro_gx_log_param_del,0
pro_gx_log_form_del,0
pro_gx_log_form_copy1,0
pro_gx_log_form_copy,0
pro_gx_log_del,0
pro_gx_log_copy2,0
pro_gx_log_copy1,0
pro_gx_log_copy,0
pro_gx_log_check_del,0
pro_gx_copy1,0
pro_gx_copy,0
pro_gcl_ylnumber,0
pro_gcl_ly_finish,0
pro_gcl_ly_detail,0
pro_gcl_ly,0
pro_gcl_hx_detail,0
pro_gcl_hx,0
pro_gcl_database,0
pro_cost_template,0
pro_cost_bi_detail1_del,0
pro_cost_baseinfo_del,0
pro_code_sign,0
pro_bi_temp,0
pro_bi_sx,0
pro_bi_del,0
pro_bi_copy,0
mt_field_lsh,0
mt_att_field,0
m_dbmeta,0
kpi_dimension_info,0
geometry_columns,0
feature_attachrel,0
feature_attach,0
enn_syncbigdata_date,0
enn_sync_date,0
cfg_taskservice,0
